survey_date,province,lat,lon,rice_ecosystem,rice_stage,rice_variety,rat_damage_%,GA_snail_ea,dead_heart_%,rice_gall_midge_%,white_head_%,rice_bug_%,rice_thrip_%,whorl_maggot_%,rice_hispa_%,leaf_folder,bph_pertiller,wbph_pertiller,zigzag_pertiller,green_leafhopper_pertiller,white_whitefily_pertiller,black_bug_pertiller,bacterial_blight_%,bacterial_leaf_streak_%,brown_spot_%,leaf_blast_%,red_stripe_%,narrow_brown_spot_%,bakanae_%,dirty_panicle_%,false_smut_%,neck_blast_%,sheath_blight_%,sheath_rot_%,hopper_burn_%,gressy_stun_virus_%,ragged_stun_virus_%,orange_leaf_%,weed_infestration_%,dominant_weed_type,dominant_weed_species
2023-03-02,สุพรรณบุรี,14.588123100000001,100.103825,นิเวศข้าวกับพืชอื่น,ออกรวง,หอมมะลิแดง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.15,0,0,0,0,75,0,0,0,0,0,0,0,0,0,NA,NA
2023-03-08,สุพรรณบุรี,14.611431,100.066773,นาชลประทาน,ตั้งท้อง,กข85,0,0,0,0,0,0,0,0.99,0,32.96,0,0,0,0,0,0,0,0,68.819999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-03-10,มุกดาหาร,16.790372999999999,104.526099,นาชลประทาน,แตกกอ,ปทุมธานี1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52100000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
2023-03-10,มุกดาหาร,16.609811000000001,104.44373,นาชลประทาน,แตกกอ,กข22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627,0.94,0.313,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
45001,เชียงราย,20.360358000000002,99.965042999999994,นาชลประทาน,แตกกอ,หอมแม่โจ้,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.207999999999998,0,0,0.755,0,0,0,0,0,0,0,0,0,28.333300000000001,หญ้า,หญ้าข้าวนก
45001,เชียงราย,20.356963,99.971254000000002,นาชลประทาน,ระยะกล้า,กข16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1280000000000001,1.0640000000000001,0,0,0,0,0,0,0,0,0,0,0,0,20,กก,หนวดปลาดุก
45014,เชียงราย,19.589721999999998,99.720556000000002,นาชลประทาน,แตกกอ,ก.วก.2,0,0,0,0,0,0,0,0,0,0,0.4,3,0,0,0,0,0,0,15.398,0,0,0,2.6549999999999998,0,0,0,0,0,0,0,0,0,1.6666700000000001,กก,หนวดปลาดุก
45027,พะเยา,19.142218,99.879549999999995,นาชลประทาน,ออกดอก,สันป่าตอง1,6.8970000000000002,0,0,0,0,0,0,0,0,0,0.3,0.2,0,0,0,0,0,0,20.745999999999999,0,0,0,0,44,0,0,0,0,0,0,0,0,20,กก,กกสามเหลี่ยม
45027,พะเยา,19.259679999999999,100.019031,นาชลประทาน,ออกรวง,สันป่าตอง,5.2080000000000002,0,0,0,2.9409999999999998,0,0,0,0,0,1,0.2,0,0,0,0,0,0,24.242000000000001,0,0,0,0,57.353000000000002,0,0,0,0,0,0,0,0,3.3333300000000001,หญ้า,หญ้าข้าวนก
45027,พะเยา,19.284200999999999,99.828942999999995,นาชลประทาน,ออกดอก,กข79,0,0,0,0,3,0,0,0,0,0.191,0,0,0,0,0,0,0,0,29.771000000000001,1.5269999999999999,0,0,0,24,0,0,0,0,0,0,0,0,5,หญ้า,หญ้าข้าวนก
45042,เชียงราย,19.526367,99.732986999999994,นาชลประทาน,ออกดอก,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0,0.2,0.8,0,0,0,0,0,0,58.936,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3332999999999999,หญ้า,หญ้าข้าวนก
45042,เชียงราย,19.602682999999999,99.776190999999997,นาชลประทาน,ออกดอก,พิษณุโลก 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.262,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3332999999999999,พืชใบเลี้ยงคู่ใบกว้าง,ผักปอดนา
45044,แพร่,18.267654,100.203233,นาชลประทาน,ออกรวง,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.693000000000001,0,0,0,0,10.256,0,0,0,0,0,0,0,0,5,หญ้า,หญ้าข้าวนก
45044,แพร่,18.242137,100.218996,นาชลประทาน,ออกดอก,ข้าวหอมไม่ไวต่อช่วงแสง,2.2469999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.449,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333300000000001,พืชใบเลี้ยงคู่ใบกว้าง,ผักปอดนา
45045,แพร่,18.214065000000002,100.284049,นาชลประทาน,ก่อนเก็บเกี่ยวเกี่ยว,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.728000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,15,หญ้า,หญ้าข้าวนก
45045,แพร่,18.426634,100.183178,นาชลประทาน,ออกดอก,สันป่าตอง 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.766999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3333300000000001,กก,หนวดปลาดุก
45049,เชียงใหม่,19.958587000000001,99.214262000000005,นาชลประทาน,ก่อนเก็บเกี่ยวเกี่ยว,สันป่าตอง 1,5.8250000000000002,0,0,0,2.1509999999999998,0,0,0,0,0,0.6,0.8,0,0,0,0,0,0,33.981000000000002,0,0,0,0,24.731000000000002,0,0,0,0,0,0,0,0,1.6666669999999999,กก,หนวดปลาดุก
45049,เชียงใหม่,18.664770000000001,98.896345999999994,นาชลประทาน,ก่อนเก็บเกี่ยวเกี่ยว,สันป่าตอง 1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.859000000000002,0,0,0,0,69.492000000000004,0,0,0,0,0,0,0,0,5,หญ้า,หญ้าข้าวนก
45062,นครศรีธรรมราช,8.1750799999999995,100.174352,นาชลประทาน,ออกรวง,กข41,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,หญ้า,หญ้าข้าวนก
2023-05-16,นครศรีธรรมราช,8.1750799999999995,100.174352,นาชลประทาน,ตั้งท้อง,ชัยนาท,0,0,0,0,0,0,4.2759999999999998,0,0,0,0,0,0,0,0,0,0,0,37.170999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,23.33,หญ้า,หญ้าข้าวนก
2023-05-16,นครศรีธรรมราช,8.1750159999999994,100.17434900000001,นาชลประทาน,ตั้งท้อง,ชัยนาท,0,0,0,0,0,0,0,0,0,1.3160000000000001,0,0,0,0,0,0,0,0,28.946999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,5,หญ้า,หญ้าข้าวนก
2023-05-22,กระบี่,8.5084479999999996,98.865556999999995,นาชลประทาน,ออกรวง,ปทุมธานี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7519999999999998,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,10,หญ้า,หญ้าข้าวนก
2023-05-25,กระบี่,8.5050260000000009,98.864841999999996,นาชลประทาน,ออกรวง,ปทุมธานี,0,0,0,0,0,0,0,0.44600000000000001,0,4.9109999999999996,0,0,0,0,0,0,0,6.6959999999999997,8.9290000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,หญ้า,หญ้าไม้กวาด
2023-06-08,สงขลา,7.6402489999999998,100.343298,นาชลประทาน,แตกกอ,กข85,0,0,0,0,0,0,0,0,0,3.0489999999999999,0,0,0,0,0,0,0,0,34.146000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66,กก,กกขนาก
2023-06-08,สงขลา,7.6404560000000004,100.343352,นาชลประทาน,ออกรวง,ปทุมธานี,0,0,0,0,0,0,0,0,0,0.93500000000000005,0,0,0,0,0,0,0,0,50.935000000000002,0,0,0,0,44.86,0,0,0,0,0,0,0,0,15,หญ้า,หญ้าข้าวนก
2023-06-08,สงขลา,7.6441140000000001,100.34252600000001,นาชลประทาน,ออกรวง,กข43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2210000000000001,59.036000000000001,0,0,0,0,52.173999999999999,0,0,0,0,0,0,0,0,0,NA,NA
